"Date","Brazilian Reals to One U.S. Dollar","Chinese Yuan to One U.S. Dollar","Hong Kong Dollars to One U.S. Dollar","Indian Rupees to One U.S. Dollar","Japanese Yen to One U.S. Dollar","Singapore Dollars to One U.S. Dollar","Swedish Kronor to One U.S. Dollar","Thai Baht to One U.S. Dollar"
"1986-02-20",,3.216,7.803,12.24,181.1,2.161,7.338,26.43
"1986-02-21",,3.216,7.804,12.37,182.98,2.134,7.349,26.45
"1986-02-24",,3.216,7.803,12.26,182.15,2.147,7.292,26.45
"1986-02-25",,3.216,7.802,12.12,180.95,2.141,7.204,26.41
"1986-02-26",,3.216,7.799,12.13,181.15,2.148,7.173,26.42
"1986-02-27",,3.216,7.801,12.14,180.15,2.157,7.155,26.38
"1986-02-28",,3.216,7.805,12.27,180.55,,7.201,26.37
"1986-03-03",,3.216,7.809,12.34,179.65,2.154,7.19,26.37
"1986-03-04",,3.216,7.81,12.23,179,2.153,7.145,26.37
"1986-03-05",,3.216,7.808,12.22,181.45,2.163,7.245,26.37
"1986-03-06",,3.216,7.808,12.27,179.3,2.158,7.235,26.44
"1986-03-07",,3.216,7.809,12.83,179.45,2.159,7.22,26.4
"1986-03-10",,3.216,7.81,12.25,180.7,2.165,7.294,26.39
"1986-03-11",,3.216,7.812,12.35,179.9,2.165,7.255,26.44
"1986-03-12",,3.216,7.81,12.2,180.2,2.163,7.281,26.42
"1986-03-13",,3.219,7.811,12.3,179.9,2.166,7.298,26.44
"1986-03-14",,3.219,7.813,12.25,177.15,2.16,7.225,26.44
"1986-03-17",,3.219,7.815,12.24,175.73,2.164,7.205,26.37
"1986-03-18",,3.219,7.813,12.23,175,2.162,7.205,26.35
"1986-03-19",,3.219,7.816,12.24,177.1,2.168,7.22,26.38
"1986-03-20",,3.219,7.813,12.17,176.37,2.163,7.208,26.38
"1986-03-21",,3.219,7.813,12.17,175.8,2.163,7.175,26.37
"1986-03-24",,3.219,7.815,12.19,178.9,2.169,7.265,26.39
"1986-03-25",,3.229,7.816,12.33,180.2,2.178,7.385,26.48
"1986-03-26",,3.229,7.816,12.33,179.8,2.173,7.35,26.5
"1986-03-27",,3.229,7.817,12.31,179.52,2.172,7.35,26.49
"1986-03-28",,3.23,7.815,12.31,179.85,2.174,7.362,26.49
"1986-03-31",,3.229,7.817,12.31,177.6,2.177,7.37,26.49
"1986-04-01",,3.229,7.812,12.43,178.15,2.176,7.367,26.46
"1986-04-02",,3.229,7.805,12.42,179.5,2.182,7.415,26.48
"1986-04-03",,3.229,7.81,12.44,179.9,2.184,7.458,26.48
"1986-04-04",,3.229,7.814,12.49,180.35,2.19,7.495,26.54
"1986-04-07",,3.229,7.814,12.54,182.85,2.208,7.52,26.54
"1986-04-08",,3.229,7.813,12.5,180.05,2.199,7.383,26.6
"1986-04-09",,3.222,7.806,12.56,180.05,2.199,7.398,26.52
"1986-04-10",,3.222,7.806,12.55,178.8,2.197,7.38,26.54
"1986-04-11",,3.216,7.804,12.48,178.35,2.181,7.323,26.48
"1986-04-14",,3.216,7.801,12.45,179.12,2.188,7.323,26.54
"1986-04-15",,3.216,7.8,12.49,178.25,2.194,7.321,26.52
"1986-04-16",,3.216,7.795,12.41,176.5,2.173,7.19,26.5
"1986-04-17",,3.21,7.793,12.34,175.15,2.175,7.125,26.45
"1986-04-18",,3.21,7.787,12.28,173.8,2.175,7.158,26.43
"1986-04-21",,3.21,7.781,12.36,172,2.18,7.136,26.37
"1986-04-22",,3.203,7.781,12.3,170.15,2.179,7.105,26.32
"1986-04-23",,3.203,7.78,12.29,169.35,2.19,7.095,26.27
"1986-04-24",,3.2,7.771,12.22,169,2.198,7.08,26.27
"1986-04-25",,3.2,7.768,12.28,168.1,2.193,7.045,26.31
"1986-04-28",,3.2,7.785,12.25,167.15,2.193,7.003,26.25
"1986-04-29",,3.2,7.79,12.27,167.85,2.191,7.03,26.26
"1986-04-30",,3.2,7.792,12.3,167.6,2.194,7.007,26.3
"1986-05-01",,3.2,7.792,12.35,169.65,2.202,7.098,26.3
"1986-05-02",,3.203,7.797,12.44,169.9,2.201,7.085,26.38
"1986-05-05",,3.203,7.8,12.44,165.62,2.196,7.025,26.38
"1986-05-06",,3.197,7.797,12.37,166.25,2.204,7.1,26.3
"1986-05-07",,3.197,7.8,12.34,165.1,2.205,7.065,26.3
"1986-05-08",,3.197,7.804,12.3,163.62,2.203,7.015,26.16
"1986-05-09",,3.197,7.809,12.36,162.35,2.204,7.021,26.26
"1986-05-12",,3.194,7.809,12.32,161.15,2.205,7.04,26.23
"1986-05-13",,3.194,7.809,12.32,163,2.209,7.1,26.2
"1986-05-14",,3.194,7.813,12.38,163.3,2.214,7.073,26.29
"1986-05-15",,3.194,7.812,12.36,163.6,2.214,7.078,26.25
"1986-05-16",,3.194,7.812,12.43,165.4,2.213,7.11,26.28
"1986-05-19",,3.2,7.812,12.46,168.15,2.228,7.125,26.37
"1986-05-20",,3.2,7.814,12.42,168.6,2.231,7.168,26.33
"1986-05-21",,3.206,7.813,12.5,168.77,2.227,7.191,26.36
"1986-05-22",,3.206,7.819,12.57,169.3,2.225,7.26,26.36
"1986-05-23",,3.21,7.817,12.64,169.6,2.23,7.268,26.36
"1986-05-27",,3.21,7.813,12.69,169.2,2.227,7.263,26.44
"1986-05-28",,3.21,7.812,12.63,169,2.225,7.269,26.41
"1986-05-29",,3.21,7.806,12.69,171.6,2.227,7.318,26.43
"1986-05-30",,3.219,7.811,12.77,174.5,2.242,7.391,26.48
"1986-06-02",,3.222,7.816,12.87,174.9,2.27,7.387,26.56
"1986-06-03",,3.223,7.812,12.7,171.6,2.221,7.285,26.54
"1986-06-04",,3.216,7.815,12.67,171.53,2.234,7.301,26.47
"1986-06-05",,3.216,7.813,12.69,168.9,2.228,7.24,26.46
"1986-06-06",,3.21,7.812,12.58,167.7,2.23,7.192,26.41
"1986-06-09",,3.21,7.812,12.63,167.87,2.23,7.211,26.44
"1986-06-10",,3.21,7.81,12.55,166.9,2.224,7.179,26.41
"1986-06-11",,3.21,7.809,12.44,166.35,2.217,7.168,26.41
"1986-06-12",,3.203,7.807,12.48,165.85,2.221,7.16,26.34
"1986-06-13",,3.21,7.808,12.59,165.25,2.218,7.168,26.33
"1986-06-16",,3.21,7.808,12.53,165.5,2.219,7.151,26.33
"1986-06-17",,3.21,7.811,12.62,167.8,2.227,7.242,26.36
"1986-06-18",,3.213,7.81,12.62,167.65,2.229,7.24,26.4
"1986-06-19",,3.213,7.811,12.62,166.88,2.226,7.228,26.38
"1986-06-20",,3.213,7.81,12.65,167.7,2.226,7.261,26.38
"1986-06-23",,3.213,7.812,12.71,167.9,2.228,7.245,26.43
"1986-06-24",,3.21,7.811,12.58,166.65,2.22,7.185,26.37
"1986-06-25",,3.21,7.811,12.52,166.1,2.217,7.17,26.37
"1986-06-26",,3.21,7.811,12.56,166.1,2.216,7.18,26.35
"1986-06-27",,3.21,7.811,12.54,165.45,2.201,7.141,26.35
"1986-06-30",,3.206,7.809,12.42,163.8,2.188,7.128,26.32
"1986-07-01",,3.203,7.81,12.4,162.7,2.19,7.083,26.3
"1986-07-02",,3.203,7.811,12.42,163.35,2.196,7.115,26.27
"1986-07-03",,3.206,7.812,12.36,161.4,2.187,7.085,26.27
"1986-07-07",,3.713,7.813,12.35,160.7,2.184,7.095,26.2
"1986-07-08",,3.713,7.812,12.37,161,2.18,7.105,26.24
"1986-07-09",,3.713,7.812,12.45,161.08,2.187,7.116,26.22
"1986-07-10",,3.713,7.813,12.48,160.5,2.188,7.113,26.24
"1986-07-11",,3.713,7.813,12.51,161.35,2.197,7.147,26.23
"1986-07-14",,3.713,7.813,12.62,160.25,2.194,7.153,26.3
"1986-07-15",,3.713,7.815,12.54,159.5,2.187,7.108,26.24
"1986-07-16",,3.713,7.814,12.47,158.4,2.185,7.056,26.19
"1986-07-17",,3.713,7.815,12.53,157.35,2.184,7.05,26.16
"1986-07-18",,3.713,7.813,12.59,156.45,2.183,7.022,26.16
"1986-07-21",,3.713,7.813,12.59,155.05,2.184,7.02,26.16
"1986-07-22",,3.713,7.816,12.56,156.8,2.188,7.07,26.13
"1986-07-23",,3.713,7.815,12.57,157.45,2.192,7.058,26.13
"1986-07-24",,3.713,7.815,12.53,156.7,2.187,7.063,26.18
"1986-07-25",,3.713,7.814,12.54,157.7,2.189,7.08,26.18
"1986-07-28",,3.713,7.809,12.58,155.95,2.183,7.033,26.23
"1986-07-29",,3.713,7.809,12.56,155.7,2.18,7.018,26.15
"1986-07-30",,3.713,7.809,12.57,156.1,2.179,7.01,26.17
"1986-07-31",,3.713,7.808,12.58,153.85,2.175,6.976,26.13
"1986-08-01",,3.713,7.808,12.58,153.85,2.175,6.975,26.12
"1986-08-04",,3.713,7.798,12.59,154,2.172,6.987,26.09
"1986-08-05",,3.713,7.801,12.53,154.95,2.176,6.99,26.12
"1986-08-06",,3.713,7.801,12.55,154.4,2.174,6.97,26.14
"1986-08-07",,3.713,7.788,12.57,153.8,2.17,6.953,26.1
"1986-08-08",,3.713,7.8,12.56,154.15,2.17,6.953,26.1
"1986-08-11",,3.713,7.797,12.54,153.77,2.154,6.939,26.09
"1986-08-12",,3.713,7.795,12.55,154.7,2.164,6.961,26.09
"1986-08-13",,3.713,7.798,12.58,154.3,2.16,6.949,26.11
"1986-08-14",,3.713,7.775,12.57,153.73,2.162,6.932,26.09
"1986-08-15",,3.713,7.788,12.55,154.2,2.156,6.935,26.08
"1986-08-18",,3.713,7.813,12.59,154.2,2.155,6.95,26.09
"1986-08-19",,3.713,7.807,12.61,153.5,2.151,6.914,26.1
"1986-08-20",,3.713,7.807,12.57,153.4,2.148,6.895,26.07
"1986-08-21",,3.713,7.805,12.59,153.25,2.149,6.892,26.01
"1986-08-22",,3.713,7.803,12.57,153.45,2.148,6.899,26
"1986-08-25",,3.713,7.803,12.57,153.84,2.153,6.906,26.07
"1986-08-26",,3.713,7.808,12.56,154.95,2.156,6.92,26.09
"1986-08-27",,3.713,7.806,12.58,154.68,2.159,6.927,26.12
"1986-08-28",,3.713,7.805,12.55,156.05,2.16,6.931,26.11
"1986-08-29",,3.713,7.804,12.54,154.55,2.155,6.89,26.16
"1986-09-02",,3.713,7.801,12.57,154.25,2.152,6.885,26.09
"1986-09-03",,3.713,7.803,12.58,154.7,2.158,6.876,26.1
"1986-09-04",,3.713,7.8,12.57,154.9,2.157,6.877,26.11
"1986-09-05",,3.713,7.801,12.57,155.4,2.162,6.911,26.12
"1986-09-08",,3.713,7.802,12.61,156.15,2.173,6.963,26.14
"1986-09-09",,3.713,7.806,12.62,155.7,2.174,6.941,26.18
"1986-09-10",,3.713,7.806,12.62,154.8,2.175,6.946,26.16
"1986-09-11",,3.713,7.806,12.64,156.4,2.18,7.011,26.15
"1986-09-12",,3.713,7.804,12.67,155.35,2.17,6.95,26.17
"1986-09-15",,3.713,7.8,12.7,155.18,2.164,6.93,26.15
"1986-09-16",,3.713,7.803,12.7,156.35,2.168,6.931,26.11
"1986-09-17",,3.713,7.804,12.72,154.8,2.168,6.881,26.14
"1986-09-18",,3.713,7.801,12.67,153.65,2.157,6.825,26.08
"1986-09-19",,3.713,7.802,12.68,152,2.163,6.829,26.08
"1986-09-22",,3.713,7.803,12.73,153.6,2.171,6.914,26.1
"1986-09-23",,3.713,7.804,12.75,154.66,2.173,6.956,26.1
"1986-09-24",,3.713,7.805,12.72,154.57,2.176,6.946,26.12
"1986-09-25",,3.724,7.802,12.74,154.55,2.173,6.95,26.12
"1986-09-26",,3.724,7.803,12.78,154.35,2.173,6.95,26.13
"1986-09-29",,3.724,7.803,12.78,153.65,2.173,6.921,26.09
"1986-09-30",,3.724,7.802,12.77,154.35,2.172,6.91,26.08
"1986-10-01",,3.724,7.804,12.8,154.15,2.172,6.907,26.11
"1986-10-02",,3.724,7.802,12.81,153.92,2.171,6.879,26.1
"1986-10-03",,3.724,7.797,12.77,154.17,2.171,6.855,26.1
"1986-10-06",,3.724,7.792,12.77,154.06,2.17,6.84,26.09
"1986-10-07",,3.724,7.797,12.77,154.07,2.17,6.86,26.09
"1986-10-08",,3.724,7.8,12.81,154.35,2.17,6.865,26.1
"1986-10-09",,3.724,7.801,12.78,154.95,2.174,6.883,26.1
"1986-10-10",,3.724,7.799,12.81,154.45,2.174,6.833,26.1
"1986-10-14",,3.724,7.8,12.76,153.97,2.172,6.816,26.1
"1986-10-15",,3.724,7.799,12.79,154.2,2.173,6.816,26.06
"1986-10-16",,3.724,7.8,12.81,154.2,2.173,6.82,26.06
"1986-10-17",,3.724,7.798,12.84,154.23,2.174,6.827,26.08
"1986-10-20",,3.724,7.805,12.83,154.75,2.176,6.853,26.08
"1986-10-21",,3.724,7.803,12.84,155.16,2.177,6.852,26.1
"1986-10-22",,3.724,7.8,12.86,155.8,2.179,6.852,26.1
"1986-10-23",,3.724,7.8,12.91,158.13,2.185,6.88,26.1
"1986-10-24",,3.724,7.804,12.96,161.35,2.189,6.957,26.17
"1986-10-27",,3.731,7.804,12.97,160.7,2.185,6.998,26.27
"1986-10-28",,3.731,7.799,12.92,160.1,2.185,6.957,26.25
"1986-10-29",,3.731,7.8,12.93,160.5,2.185,6.965,26.22
"1986-10-30",,3.731,7.8,12.95,161.78,2.19,7.031,26.2
"1986-10-31",,3.731,7.8,12.98,163.4,2.2,7.038,26.26
"1986-11-03",,3.731,7.803,12.95,164,2.2,7.043,26.32
"1986-11-04",,3.731,7.802,12.96,163.92,2.196,7.027,26.33
"1986-11-05",,3.731,7.803,12.94,164.5,2.196,7.038,26.32
"1986-11-06",,3.731,7.803,12.99,163.3,2.195,7.033,26.31
"1986-11-07",,3.731,7.802,13.01,163.2,2.193,7.03,26.29
"1986-11-10",,3.731,7.801,13.01,162.85,2.189,6.99,26.27
"1986-11-12",,3.731,7.802,13.09,160.62,2.189,6.953,26.25
"1986-11-13",,3.731,7.8,13.13,160.9,2.191,6.938,26.21
"1986-11-14",,3.731,7.801,13.1,161.45,2.194,6.925,26.23
"1986-11-17",,3.731,7.801,13.11,162.82,2.194,6.945,26.27
"1986-11-18",,3.731,7.803,13.15,162.8,2.195,6.949,26.28
"1986-11-19",,3.731,7.792,13.15,162.4,2.186,6.947,26.27
"1986-11-20",,3.731,7.795,13.15,162.75,2.189,6.953,26.26
"1986-11-21",,3.731,7.794,13.16,164.05,2.192,6.971,26.28
"1986-11-24",,3.731,7.795,13.14,164.18,2.197,6.979,26.31
"1986-11-25",,3.731,7.788,13.12,162.55,2.189,6.91,26.3
"1986-11-26",,3.731,7.786,13.11,162.95,2.183,6.923,26.25
"1986-11-28",,3.731,7.785,13.1,162.05,2.196,6.878,26.25
"1986-12-01",,3.731,7.788,13.13,162.25,2.191,6.866,26.21
"1986-12-02",,3.731,7.774,13.14,162,2.191,6.89,26.21
"1986-12-03",,3.731,7.798,13.14,162.26,2.19,6.88,26.26
"1986-12-04",,3.731,7.785,13.14,162.77,2.193,6.923,26.22
"1986-12-05",,3.731,7.789,13.16,162.42,2.193,6.933,26.22
"1986-12-08",,3.731,7.789,13.18,162.4,2.193,6.953,26.27
"1986-12-09",,3.731,7.794,13.18,162.6,2.194,6.971,26.27
"1986-12-10",,3.731,7.795,13.16,162.75,2.191,6.957,26.27
"1986-12-11",,3.731,7.789,13.18,162.7,2.194,6.975,26.28
"1986-12-12",,3.731,7.793,13.17,163.05,2.197,6.972,26.28
"1986-12-15",,3.731,7.795,13.14,163.25,2.194,6.967,26.29
"1986-12-16",,3.731,7.797,13.17,163.95,2.196,6.97,26.29
"1986-12-17",,3.731,7.798,13.18,163.65,2.194,6.964,26.3
"1986-12-18",,3.731,7.798,13.15,163,2.193,6.952,26.28
"1986-12-19",,3.731,7.796,13.16,162.2,2.192,6.946,26.28
"1986-12-22",,3.731,7.801,13.13,162.75,2.189,6.886,26.22
"1986-12-23",,3.731,7.798,13.12,162.7,2.19,6.873,26.18
"1986-12-24",,3.731,7.799,13.13,161.45,2.187,6.88,26.21
"1986-12-26",,3.731,7.799,13.13,159.75,2.188,6.857,26.25
"1986-12-29",,3.731,7.794,13.13,159.05,2.183,6.806,26.11
"1986-12-30",,3.731,7.792,13.13,159.9,2.178,6.819,26.1
"1986-12-31",,3.731,7.792,13.12,158.3,2.173,6.741,26.27
"1987-01-02",,3.731,7.78,13.02,158.25,2.17,6.738,26.1
"1987-01-05",,3.731,7.79,13.05,159.4,2.174,6.775,26.1
"1987-01-06",,3.731,7.787,13.05,158.78,2.172,6.755,26.11
"1987-01-07",,3.731,7.786,13.05,158.05,2.172,6.785,26.09
"1987-01-08",,3.731,7.783,13.08,158.23,2.171,6.78,26.1
"1987-01-09",,3.731,7.781,13.05,158.2,2.168,6.758,26.04
"1987-01-12",,3.731,7.773,13.02,156.77,2.162,6.698,26.09
"1987-01-13",,3.731,7.772,13.04,155.75,2.158,6.665,26.04
"1987-01-14",,3.731,7.766,13.02,152.8,2.148,6.572,26.04
"1987-01-15",,3.731,7.762,13.01,153.55,2.144,6.59,26
"1987-01-16",,3.731,7.76,13,153.4,2.139,6.589,25.94
"1987-01-20",,3.731,7.755,13.05,152.68,2.135,6.571,25.9
"1987-01-21",,3.731,7.755,13.07,153.95,2.148,6.592,25.92
"1987-01-22",,3.731,7.755,13.02,151.9,2.136,6.505,25.92
"1987-01-23",,3.731,7.76,13.04,153.08,2.142,6.538,25.93
"1987-01-26",,3.731,7.771,13.02,152.65,2.141,6.532,25.93
"1987-01-27",,3.731,7.772,13.04,151.65,2.138,6.495,25.92
"1987-01-28",,3.731,7.763,12.95,151.75,2.126,6.44,25.86
"1987-01-29",,3.731,7.763,12.97,152.1,2.133,6.457,25.86
"1987-01-30",,3.731,7.765,13.04,153.65,2.148,6.543,25.86
"1987-02-02",,3.731,7.775,13.06,152.57,2.137,6.483,25.94
"1987-02-03",,3.731,7.777,13.02,152.5,2.132,6.465,25.89
"1987-02-04",,3.731,7.786,13.03,152.8,2.141,6.49,25.89
"1987-02-05",,3.731,7.796,13.12,153.63,2.142,6.55,25.89
"1987-02-06",,3.731,7.799,13.19,154.45,2.148,6.58,25.94
"1987-02-09",,3.731,7.8,13.13,152.55,2.146,6.505,26
"1987-02-10",,3.731,7.785,13.05,152.4,2.138,6.463,25.91
"1987-02-11",,3.731,7.79,13.04,153.7,2.144,6.502,25.91
"1987-02-12",,3.731,7.792,13.03,154.1,2.145,6.535,25.91
"1987-02-13",,3.731,7.801,13.05,153.7,2.143,6.524,25.94
"1987-02-17",,3.731,7.798,13.04,153.22,2.141,6.492,25.93
"1987-02-18",,3.731,7.822,13.04,153.85,2.144,6.51,25.93
"1987-02-19",,3.731,7.803,13.09,154.13,2.15,6.525,25.95
"1987-02-20",,3.731,7.797,13.08,153.65,2.136,6.496,25.96
"1987-02-23",,3.731,7.799,13.03,153.68,2.144,6.493,25.96
"1987-02-24",,3.731,7.801,13.04,153.78,2.142,6.494,25.96
"1987-02-25",,3.731,7.799,13.04,153.6,2.14,6.485,25.95
"1987-02-26",,3.731,7.795,13.05,153.15,2.133,6.465,25.94
"1987-02-27",,3.731,7.796,13.05,153.27,2.136,6.475,25.93
"1987-03-02",,3.731,7.8,13.02,153.5,2.139,6.47,25.73
"1987-03-03",,3.731,7.799,13.02,153.65,2.138,6.46,25.94
"1987-03-04",,3.731,7.8,13.03,153.71,2.139,6.458,25.93
"1987-03-05",,3.731,7.802,13.02,153.2,2.141,6.438,25.94
"1987-03-06",,3.731,7.805,12.98,153.47,2.144,6.451,25.94
"1987-03-09",,3.731,7.805,12.95,153.8,2.144,6.478,25.95
"1987-03-10",,3.731,7.803,12.97,153.65,2.147,6.478,25.96
"1987-03-11",,3.731,7.804,12.92,153.82,2.15,6.496,25.96
"1987-03-12",,3.731,7.804,12.93,153.63,2.148,6.48,25.96
"1987-03-13",,3.731,7.803,12.99,152.65,2.145,6.471,25.95
"1987-03-16",,3.731,7.803,12.99,151.65,2.14,6.432,25.93
"1987-03-17",,3.731,7.803,12.92,151.95,2.142,6.423,25.89
"1987-03-18",,3.731,7.799,12.85,151.95,2.147,6.416,25.89
"1987-03-19",,3.731,7.801,12.86,151.48,2.144,6.415,25.89
"1987-03-20",,3.731,7.803,12.88,151.7,2.145,6.409,25.88
"1987-03-23",,3.731,7.803,12.8,150.25,2.14,6.369,25.87
"1987-03-24",,3.731,7.8,12.79,149.32,2.14,6.317,25.82
"1987-03-25",,3.731,7.8,12.82,149.15,2.14,6.387,25.82
"1987-03-26",,3.731,7.804,12.9,149.2,2.142,6.388,25.83
"1987-03-27",,3.731,7.801,12.89,147.72,2.139,6.365,25.83
"1987-03-30",,3.731,7.8,12.85,146.4,2.135,6.321,25.74
"1987-03-31",,3.731,7.799,12.94,145.68,2.136,6.325,25.74
"1987-04-01",,3.731,7.804,12.94,146.82,2.14,6.36,25.77
"1987-04-02",,3.731,7.802,13,146.5,2.14,6.34,25.81
"1987-04-03",,3.731,7.802,12.88,146.2,2.138,6.36,25.76
"1987-04-06",,3.731,7.802,12.85,146.1,2.139,6.36,25.76
"1987-04-07",,3.731,7.803,12.85,145.35,2.138,6.361,25.76
"1987-04-08",,3.731,7.805,12.87,146.6,2.143,6.393,25.75
"1987-04-09",,3.731,7.805,12.85,144.7,2.14,6.357,25.75
"1987-04-10",,3.731,7.803,12.82,142.55,2.138,6.321,25.7
"1987-04-13",,3.731,7.804,12.86,142.65,2.138,6.321,25.7
"1987-04-14",,3.731,7.805,12.8,141.13,2.135,6.295,25.66
"1987-04-15",,3.731,7.801,12.83,141.75,2.138,6.303,25.64
"1987-04-16",,3.731,7.803,12.86,143,2.136,6.315,25.69
"1987-04-17",,3.731,7.803,12.84,143.2,2.137,6.324,
"1987-04-20",,3.731,7.803,12.86,142.4,2.136,6.315,25.71
"1987-04-21",,3.731,7.8,12.8,142.35,2.135,6.32,25.68
"1987-04-22",,3.731,7.8,12.82,142.35,2.137,6.34,25.7
"1987-04-23",,3.731,7.803,12.8,141.2,2.136,6.313,25.68
"1987-04-24",,3.731,7.8,12.7,139.75,2.125,6.253,25.61
"1987-04-27",,3.731,7.8,12.63,138.4,2.119,6.239,25.55
"1987-04-28",,3.731,7.803,12.69,139.9,2.127,6.273,25.6
"1987-04-29",,3.731,7.803,12.72,140.2,2.129,6.28,25.63
"1987-04-30",,3.731,7.804,12.65,140.67,2.123,6.284,25.59
"1987-05-01",,3.731,7.808,12.63,140.35,2.125,6.235,25.59
"1987-05-04",,3.731,7.808,12.63,139.1,2.125,6.226,25.59
"1987-05-05",,3.731,7.808,12.61,138.67,2.121,6.203,25.59
"1987-05-06",,3.731,7.808,12.57,139.2,2.121,6.214,25.58
"1987-05-07",,3.731,7.805,12.59,139.4,2.123,6.235,25.57
"1987-05-08",,3.731,7.803,12.59,139.6,2.124,6.248,25.59
"1987-05-11",,3.731,7.804,12.66,139.5,2.124,6.285,25.59
"1987-05-12",,3.731,7.804,12.7,139.6,2.122,6.263,25.61
"1987-05-13",,3.731,7.804,12.7,139.76,2.123,6.265,25.62
"1987-05-14",,3.731,7.803,12.65,139.5,2.122,6.256,25.63
"1987-05-15",,3.731,7.799,12.62,139.8,2.119,6.239,25.61
"1987-05-18",,3.731,7.799,12.61,139.95,2.119,6.23,25.61
"1987-05-19",,3.731,7.802,12.59,140,2.118,6.242,25.62
"1987-05-20",,3.731,7.804,12.59,139.78,2.115,6.23,25.61
"1987-05-21",,3.731,7.804,12.63,140.45,2.114,6.238,25.62
"1987-05-22",,3.731,7.806,12.63,140.6,2.113,6.238,25.62
"1987-05-26",,3.731,7.808,12.74,143.3,2.118,6.315,25.68
"1987-05-27",,3.731,7.807,12.89,143.52,2.122,6.346,25.76
"1987-05-28",,3.731,7.808,12.85,143.4,2.119,6.345,25.75
"1987-05-29",,3.731,7.809,12.84,144.1,2.122,6.362,25.75
"1987-06-01",,3.731,7.81,12.89,145.45,2.125,6.378,25.75
"1987-06-02",,3.731,7.81,12.8,142.25,2.115,6.298,25.79
"1987-06-03",,3.731,7.806,12.81,142.8,2.116,6.309,25.71
"1987-06-04",,3.731,7.808,12.84,144.3,2.117,6.341,25.75
"1987-06-05",,3.731,7.807,12.83,143.8,2.113,6.33,25.77
"1987-06-08",,3.731,7.806,12.81,143.45,2.112,6.31,25.76
"1987-06-09",,3.731,7.809,12.75,142.5,2.11,6.284,25.72
"1987-06-10",,3.731,7.807,12.72,142.45,2.109,6.286,25.69
"1987-06-11",,3.731,7.808,12.72,142.55,2.109,6.275,25.71
"1987-06-12",,3.731,7.809,12.75,143.85,2.114,6.309,25.71
"1987-06-15",,3.731,7.811,12.86,144.8,2.119,6.356,25.71
"1987-06-16",,3.731,7.809,12.85,144.45,2.123,6.355,25.8
"1987-06-17",,3.731,7.807,12.85,144.65,2.122,6.36,25.81
"1987-06-18",,3.731,7.806,12.84,144.6,2.119,6.362,25.81
"1987-06-19",,3.731,7.807,12.85,145.05,2.12,6.381,25.8
"1987-06-22",,3.731,7.808,12.91,145.9,2.122,6.413,25.81
"1987-06-23",,3.731,7.808,12.93,146.03,2.123,6.402,25.87
"1987-06-24",,3.731,7.808,12.82,145.08,2.117,6.362,25.84
"1987-06-25",,3.731,7.808,12.87,146.33,2.122,6.385,25.8
"1987-06-26",,3.731,7.808,12.88,146.3,2.121,6.381,25.84
"1987-06-29",,3.731,7.808,12.94,146.7,2.123,6.398,25.84
"1987-06-30",,3.731,7.811,12.89,146.8,2.119,6.386,25.86
"1987-07-01",,3.731,7.81,12.87,146.85,2.119,6.392,25.82
"1987-07-02",,3.731,7.81,12.9,147.3,2.119,6.4,25.82
"1987-07-03",,3.731,7.811,12.89,148.82,2.123,6.42,25.87
"1987-07-06",,3.731,7.81,12.9,149.13,2.122,6.421,25.91
"1987-07-07",,3.731,7.809,12.9,149.7,2.123,6.414,25.91
"1987-07-08",,3.731,7.809,12.94,150.57,2.125,6.424,25.96
"1987-07-09",,3.731,7.807,12.94,149.98,2.121,6.417,25.93
"1987-07-10",,3.731,7.808,13,150.65,2.124,6.433,25.95
"1987-07-13",,3.731,7.81,12.99,150.98,2.124,6.433,25.95
"1987-07-14",,3.731,7.811,13.03,151.08,2.12,6.445,25.96
"1987-07-15",,3.731,7.81,12.96,148.65,2.113,6.39,25.98
"1987-07-16",,3.731,7.809,12.99,150.55,2.117,6.414,25.92
"1987-07-17",,3.731,7.809,13.04,152.76,2.123,6.472,25.98
"1987-07-20",,3.731,7.809,13.1,152.85,2.123,6.485,26.04
"1987-07-21",,3.731,7.809,13.11,152.66,2.122,6.49,26.03
"1987-07-22",,3.731,7.808,13.1,152.34,2.117,6.495,28.01
"1987-07-23",,3.731,7.809,13.05,150.78,2.116,6.465,26.01
"1987-07-24",,3.731,7.809,13.08,149.95,2.115,6.465,25.99
"1987-07-27",,3.731,7.809,13.09,150.45,2.113,6.47,25.96
"1987-07-28",,3.731,7.809,13.11,150.38,2.111,6.48,25.99
"1987-07-29",,3.731,7.809,13.08,150.78,2.112,6.483,25.99
"1987-07-30",,3.731,7.809,13.11,149.65,2.112,6.476,25.99
"1987-07-31",,3.731,7.808,13.11,149.9,2.111,6.489,25.98
"1987-08-03",,3.731,7.806,13.12,150.5,2.111,6.514,25.99
"1987-08-04",,3.731,7.809,13.15,152.1,2.115,6.586,26.02
"1987-08-05",,3.731,7.81,13.09,150.75,2.112,6.555,26.04
"1987-08-06",,3.731,7.81,13.09,151.45,2.112,6.573,26.02
"1987-08-07",,3.731,7.812,13.12,151.57,2.114,6.592,26.03
"1987-08-10",,3.731,7.811,13.11,151.12,2.114,6.598,26.05
"1987-08-11",,3.731,7.812,13.11,151.77,2.111,6.599,26.04
"1987-08-12",,3.731,7.812,13.1,151.25,2.106,6.586,26.04
"1987-08-13",,3.731,7.811,13.09,151.45,2.106,6.57,26.04
